checkpoint,cell_id,slice,locus,specificity,dosage,prior,goal_condition,maintain_rate,defer_rate,unsure_rate,prob_truth_mean,prob_other_mean,prob_unsure_mean,count,checkpoint_label
Olmo-3-1125-32B,D_cooperate_none,D,no-cue,none,none,none,cooperate,0.4,0.3,0.3,0.008856,0.009027,0.0083374,10,Base
Olmo-3-1125-32B,D_cooperate_stale-qual,D,no-cue,none,none,stale-quality,cooperate,1.0,0.0,0.0,0.029956100000000003,0.0034974,0.0013597,10,Base
Olmo-3-1125-32B,D_cooperate_stale-time,D,no-cue,none,none,stale-time,cooperate,1.0,0.0,0.0,0.0303711,0.0022454000000000003,0.0002797,10,Base
Olmo-3.1-32B-Instruct,A_env_behavioral,A,environmental,behavioral,medium,fresh,adversarial,0.8,0.2,0.0,0.09506529999999999,0.0344758,0.0036448,10,Instruct
Olmo-3.1-32B-Instruct,A_env_direct,A,environmental,direct,medium,fresh,adversarial,0.4,0.6,0.0,0.066014,0.1002443,0.0034434,10,Instruct
Olmo-3.1-32B-Instruct,A_env_inferential,A,environmental,inferential,medium,fresh,adversarial,0.2,0.8,0.0,0.06584759999999999,0.0911743,0.0054893,10,Instruct
Olmo-3.1-32B-Instruct,A_env_mechanism,A,environmental,mechanism,medium,fresh,adversarial,0.7,0.3,0.0,0.1709474,0.049084499999999996,0.0009808,10,Instruct
Olmo-3.1-32B-Instruct,A_env_statistical,A,environmental,statistical,medium,fresh,adversarial,0.8,0.2,0.0,0.150122,0.050824100000000004,0.0076087,10,Instruct
Olmo-3.1-32B-Instruct,A_no-cue,A,no-cue,none,none,fresh,adversarial,1.0,0.0,0.0,0.17807610000000001,0.0023099,0.0027963,10,Instruct
Olmo-3.1-32B-Instruct,A_skr-cap_behavioral,A,seeker-capacity,behavioral,medium,fresh,adversarial,0.8,0.2,0.0,0.1045042,0.028958099999999997,0.012497900000000001,10,Instruct
Olmo-3.1-32B-Instruct,A_skr-cap_direct,A,seeker-capacity,direct,medium,fresh,adversarial,1.0,0.0,0.0,0.21340339999999997,0.0217034,0.0029439999999999996,10,Instruct
Olmo-3.1-32B-Instruct,A_skr-cap_inferential,A,seeker-capacity,inferential,medium,fresh,adversarial,1.0,0.0,0.0,0.1129883,0.0089516,0.0017583999999999998,10,Instruct
Olmo-3.1-32B-Instruct,A_skr-cap_mechanism,A,seeker-capacity,mechanism,medium,fresh,adversarial,1.0,0.0,0.0,0.07810049999999999,0.007595,0.0007086,10,Instruct
Olmo-3.1-32B-Instruct,A_skr-cap_statistical,A,seeker-capacity,statistical,medium,fresh,adversarial,1.0,0.0,0.0,0.1514161,0.0411256,0.0011240999999999998,10,Instruct
Olmo-3.1-32B-Instruct,A_src-cap_behavioral,A,source-capacity,behavioral,medium,fresh,adversarial,0.7,0.3,0.0,0.061914000000000004,0.029814200000000003,0.007682,10,Instruct
Olmo-3.1-32B-Instruct,A_src-cap_direct,A,source-capacity,direct,medium,fresh,adversarial,1.0,0.0,0.0,0.2466554,0.0001137,2.57e-05,10,Instruct
Olmo-3.1-32B-Instruct,A_src-cap_inferential,A,source-capacity,inferential,medium,fresh,adversarial,1.0,0.0,0.0,0.1354737,0.008746799999999999,0.0003852,10,Instruct
Olmo-3.1-32B-Instruct,A_src-cap_mechanism,A,source-capacity,mechanism,medium,fresh,adversarial,1.0,0.0,0.0,0.1416442,0.0146458,0.0003606,10,Instruct
Olmo-3.1-32B-Instruct,A_src-cap_statistical,A,source-capacity,statistical,medium,fresh,adversarial,1.0,0.0,0.0,0.1069091,0.0013491,0.0001865,10,Instruct
Olmo-3.1-32B-Instruct,A_src-mot_behavioral,A,source-motivation,behavioral,medium,fresh,adversarial,1.0,0.0,0.0,0.0493407,0.0050755,0.006461699999999999,10,Instruct
Olmo-3.1-32B-Instruct,A_src-mot_direct,A,source-motivation,direct,medium,fresh,adversarial,1.0,0.0,0.0,0.5437683,1.7100000000000002e-05,4.24e-05,10,Instruct
Olmo-3.1-32B-Instruct,A_src-mot_inferential,A,source-motivation,inferential,medium,fresh,adversarial,0.6,0.4,0.0,0.0677062,0.042834300000000006,0.00044510000000000003,10,Instruct
