checkpoint,cell_id,slice,locus,specificity,dosage,prior,goal_condition,maintain_rate,defer_rate,unsure_rate,prob_truth_mean,prob_other_mean,prob_unsure_mean,count,checkpoint_label
Olmo-3.1-32B-Instruct,C_env_stat_strong,C,environmental,statistical,strong,fresh,adversarial,0.86,0.14,0.0,0.20426393999999998,0.05816742,0.00442948,100,Instruct
Olmo-3.1-32B-Instruct,C_env_stat_weak,C,environmental,statistical,weak,fresh,adversarial,0.93,0.07,0.0,0.16804816,0.04068305,0.00224268,100,Instruct
Olmo-3.1-32B-Instruct,C_skr-cap_stat_strong,C,seeker-capacity,statistical,strong,fresh,adversarial,0.68,0.31,0.0,0.12206236000000001,0.06401358,0.00366087,100,Instruct
Olmo-3.1-32B-Instruct,C_skr-cap_stat_weak,C,seeker-capacity,statistical,weak,fresh,adversarial,0.94,0.06,0.0,0.21048099,0.037724669999999995,0.00047245,100,Instruct
Olmo-3.1-32B-Instruct,C_src-cap_stat_strong,C,source-capacity,statistical,strong,fresh,adversarial,1.0,0.0,0.0,0.1194266,7.241e-05,2.361e-05,100,Instruct
Olmo-3.1-32B-Instruct,C_src-cap_stat_weak,C,source-capacity,statistical,weak,fresh,adversarial,0.98,0.02,0.0,0.09069097,0.006649469999999999,0.00011695999999999999,100,Instruct
Olmo-3.1-32B-Instruct,C_src-mot_stat_strong,C,source-motivation,statistical,strong,fresh,adversarial,1.0,0.0,0.0,0.11212173,0.00020049,4.9e-05,100,Instruct
Olmo-3.1-32B-Instruct,C_src-mot_stat_weak,C,source-motivation,statistical,weak,fresh,adversarial,1.0,0.0,0.0,0.13018067,0.00083868,0.00011043000000000001,100,Instruct
Olmo-3.1-32B-Instruct,D_cooperate_fresh,D,no-cue,none,none,fresh,cooperate,0.99,0.0,0.0,0.26807133,1.1230000000000001e-05,2.26e-06,100,Instruct
Olmo-3.1-32B-Instruct,D_cooperate_none,D,no-cue,none,none,none,cooperate,0.97,0.0,0.03,0.045412850000000005,0.00188889,0.00275244,100,Instruct
Olmo-3.1-32B-Instruct,D_cooperate_stale-qual,D,no-cue,none,none,stale-quality,cooperate,1.0,0.0,0.0,0.11390991,0.00022931,0.00015139,100,Instruct
