pair,scenario,condition,class,turn,agent,logprob_diff
v0.2×v0.2,pkg,false_deceive,mia_strategy,0,1,-3.3698220252990723
v0.2×v0.3,pkg,false_deceive,mia_strategy,0,1,-3.3698220252990723
v0.3×v0.2,pkg,false_deceive,mia_strategy,0,1,-1.9313149452209473
v0.3×v0.3,pkg,false_deceive,mia_strategy,0,1,-1.9313149452209473
v0.2×v0.2,wallet,false_deceive,mia_strategy,0,1,-3.683208465576172
v0.2×v0.3,wallet,false_deceive,mia_strategy,0,1,-3.683208465576172
v0.3×v0.2,wallet,false_deceive,mia_strategy,0,1,-1.8126988410949707
v0.3×v0.3,wallet,false_deceive,mia_strategy,0,1,-1.8126988410949707
v0.2×v0.2,key,false_help,mia_strategy,0,1,-0.22524070739746094
v0.2×v0.3,key,false_help,mia_strategy,0,1,-0.22561931610107422
v0.3×v0.2,key,false_help,mia_strategy,0,1,-0.3256969451904297
v0.3×v0.3,key,false_help,mia_strategy,0,1,-0.3256969451904297
v0.2×v0.3,pkg,false_help,mia_strategy,0,1,0.4966750144958496
v0.3×v0.2,pkg,false_help,mia_strategy,0,1,-0.29701709747314453
v0.3×v0.3,pkg,false_help,mia_strategy,0,1,-0.29146385192871094
v0.2×v0.3,wallet,false_help,mia_strategy,0,1,0.10053062438964844
v0.3×v0.2,wallet,false_help,mia_strategy,0,1,-0.3782358169555664
v0.3×v0.3,wallet,false_help,mia_strategy,0,1,-0.3782358169555664
v0.2×v0.2,key,ignorance_deceive,mia_strategy,0,1,-3.703146457672119
v0.2×v0.3,key,ignorance_deceive,mia_strategy,0,1,-3.701447010040283
v0.3×v0.2,key,ignorance_deceive,mia_strategy,0,1,-1.8086142539978027
v0.3×v0.3,key,ignorance_deceive,mia_strategy,0,1,-1.8086142539978027
v0.2×v0.3,pkg,ignorance_deceive,mia_strategy,0,1,-3.3698220252990723
v0.3×v0.2,pkg,ignorance_deceive,mia_strategy,0,1,-1.9313149452209473
v0.3×v0.3,pkg,ignorance_deceive,mia_strategy,0,1,-1.9313149452209473
v0.2×v0.2,wallet,ignorance_deceive,mia_strategy,0,1,-3.683047294616699
v0.2×v0.3,wallet,ignorance_deceive,mia_strategy,0,1,-3.683208465576172
v0.3×v0.2,wallet,ignorance_deceive,mia_strategy,0,1,-1.810312271118164
v0.3×v0.3,wallet,ignorance_deceive,mia_strategy,0,1,-1.8126988410949707
v0.2×v0.2,key,ignorance_help,mia_strategy,0,1,-0.22561931610107422
v0.2×v0.3,key,ignorance_help,mia_strategy,0,1,-0.22561931610107422
v0.3×v0.2,key,ignorance_help,mia_strategy,0,1,-0.3256969451904297
v0.3×v0.3,key,ignorance_help,mia_strategy,0,1,-0.3256969451904297
v0.2×v0.2,pkg,ignorance_help,mia_strategy,0,1,0.4966750144958496
v0.2×v0.3,pkg,ignorance_help,mia_strategy,0,1,0.4966750144958496
v0.3×v0.2,pkg,ignorance_help,mia_strategy,0,1,-0.29146385192871094
v0.3×v0.3,pkg,ignorance_help,mia_strategy,0,1,-0.29146385192871094
v0.2×v0.2,wallet,ignorance_help,mia_strategy,0,1,0.10049915313720703
v0.2×v0.3,wallet,ignorance_help,mia_strategy,0,1,0.10049915313720703
v0.3×v0.2,wallet,ignorance_help,mia_strategy,0,1,-0.3782358169555664
v0.3×v0.3,wallet,ignorance_help,mia_strategy,0,1,-0.3782358169555664
v0.2×v0.2,key,shared_deceive,mia_strategy,0,1,-3.703146457672119
v0.2×v0.3,key,shared_deceive,mia_strategy,0,1,-3.703146457672119
v0.3×v0.2,key,shared_deceive,mia_strategy,0,1,-1.8086142539978027
v0.3×v0.3,key,shared_deceive,mia_strategy,0,1,-1.8086142539978027
v0.2×v0.2,pkg,shared_deceive,mia_strategy,0,1,-3.3698220252990723
v0.2×v0.3,pkg,shared_deceive,mia_strategy,0,1,-3.3698220252990723
v0.3×v0.2,pkg,shared_deceive,mia_strategy,0,1,-1.9313149452209473
v0.3×v0.3,pkg,shared_deceive,mia_strategy,0,1,-1.9313149452209473
v0.2×v0.2,wallet,shared_deceive,mia_strategy,0,1,-3.683208465576172
v0.2×v0.3,wallet,shared_deceive,mia_strategy,0,1,-3.683208465576172
v0.3×v0.3,wallet,shared_deceive,mia_strategy,0,1,-1.8126988410949707
