checkpoint_label,question_id,n_obs,mean_flip,mean_shift,mean_shift_norm,mean_t2_conf,mean_t4_prob_correct,domain
Base,q0230,18,0.05555555555555555,-0.08281788888888889,-0.6521179661726434,0.12597650000000002,0.04315861111111111,world_religions
Base,q0231,9,0.1111111111111111,-0.06232777777777776,-0.8557247974287268,0.07307922222222223,0.010751444444444445,high_school_european_history
Base,q0232,15,0.06666666666666667,-0.10663266666666665,-0.74561147591794,0.14251306666666666,0.0358804,conceptual_physics
Base,q0233,15,0.0,-0.06546226666666666,-0.7327976585719118,0.08841153333333333,0.02294926666666667,miscellaneous
Base,q0235,4,0.25,-0.024642749999999977,-0.5789931687353798,0.04168675,0.017044,miscellaneous
Base,q0236,7,0.42857142857142855,-0.06634071428571427,-0.6855444948740804,0.09814442857142858,0.03180371428571428,jurisprudence
Base,q0237,18,0.0,-0.18994488888888886,-0.8671130606782811,0.2203233888888889,0.0303785,high_school_biology
Base,q0238,19,0.21052631578947367,-0.10518515789473681,-0.7147824965714302,0.1457391052631579,0.04055394736842105,miscellaneous
Base,q0239,17,0.0,-0.16475188235294116,-0.6393897253615812,0.25298711764705883,0.08823523529411764,miscellaneous
Base,q0242,18,0.0,-0.1076897222222222,-0.7413209876225326,0.14756955555555554,0.03987983333333334,prehistory
Base,q0243,19,0.2631578947368421,-0.20456652631578945,-0.8958941720738788,0.2274875789473684,0.022921052631578946,prehistory
Base,q0245,11,0.36363636363636365,-0.11364845454545452,-0.8346535026222983,0.13512054545454547,0.02147209090909091,high_school_european_history
Base,q0247,9,0.1111111111111111,-0.023057888888888843,-0.3421370556353106,0.07104488888888888,0.047987,high_school_biology
Base,q0248,14,0.07142857142857142,-0.10302871428571425,-0.6800245315722225,0.17766464285714287,0.07463592857142856,prehistory
Base,q0250,19,0.05263157894736842,-0.07686557894736837,-0.5177022790000487,0.14379863157894737,0.06693305263157895,conceptual_physics
Base,q0252,7,0.0,-0.1047538571428571,-0.6973852703989268,0.14857714285714282,0.04382328571428572,high_school_biology
Base,q0253,11,0.45454545454545453,-0.07186390909090906,-0.8634298726130837,0.08371809090909091,0.01185418181818182,nutrition
Base,q0254,1,0.0,-0.039428,-0.7021655506482405,0.056152,0.016724,high_school_world_history
Base,q0255,14,0.14285714285714285,-0.08291735714285711,-0.6773288600190993,0.11366492857142858,0.03074757142857143,high_school_biology
Base,q0256,8,0.125,-0.0665205,-0.8218270645099103,0.079589625,0.013069125,global_facts
Base,q0258,16,0.125,-0.04997643749999997,-0.7064997889518572,0.0706176875,0.02064125,miscellaneous
Base,q0259,14,0.14285714285714285,-0.03528257142857141,-0.638105608812008,0.056379071428571424,0.021096499999999997,high_school_european_history
Base,q0260,4,0.0,-0.033966,-0.5026533107896851,0.06713875,0.03317275,anatomy
Base,q0261,1,0.0,-0.20459,-0.7817162682113259,0.261719,0.057129,anatomy
Base,q0263,10,0.1,-0.060919499999999974,-0.48283074099788503,0.12251000000000001,0.06159049999999999,miscellaneous
Base,q0264,6,0.16666666666666666,0.041038499999999985,-0.09274707838990542,0.22395833333333334,0.2649968333333333,anatomy
Base,q0265,2,0.0,-0.073608,-0.5624985671600731,0.130859,0.057250999999999996,prehistory
Base,q0266,1,0.0,-0.059753,-0.838179803335718,0.071289,0.011536,prehistory
Base,q0267,2,0.5,-0.035049000000000004,-0.7238752459096205,0.046630500000000005,0.0115815,high_school_european_history
Base,q0268,8,0.625,-0.0573955,-0.8453260663900352,0.069030375,0.011634875000000001,miscellaneous
Base,q0269,19,0.15789473684210525,-0.08530442105263158,-0.8259438325062541,0.10220484210526315,0.01690042105263158,miscellaneous
Base,q0270,7,0.2857142857142857,-0.10973914285714285,-0.9218274119952509,0.11928014285714286,0.009541,high_school_geography
Base,q0271,18,0.3888888888888889,-0.1562907222222222,-0.7425058385650467,0.2096897222222222,0.053399,high_school_biology
Base,q0273,19,0.0,-0.0837706842105263,-0.8120039276566513,0.1032328947368421,0.01946221052631579,miscellaneous
Base,q0274,17,0.0,-0.13450699999999996,-0.8066221625215957,0.16638899999999998,0.031882,high_school_geography
Base,q0275,19,0.05263157894736842,-0.13742863157894733,-0.8187102294573156,0.16642673684210527,0.028998105263157894,miscellaneous
Base,q0276,12,0.0,-0.06020591666666664,-0.7415661443668776,0.08121741666666667,0.021011500000000002,conceptual_physics
Base,q0279,8,0.0,-0.01621987499999996,-0.3105126545093706,0.0449675,0.028747625,astronomy
Base,q0280,18,0.16666666666666666,-0.07774161111111108,-0.9278141863158537,0.08371311111111111,0.0059715,nutrition
Base,q0283,13,0.23076923076923078,-0.13785130769230766,-0.764494425688389,0.17735876923076924,0.03950746153846153,high_school_geography
Base,q0285,3,0.0,-0.0551763333333333,-0.6272526062691842,0.08772799999999999,0.032551666666666666,anatomy
Base,q0286,10,0.0,-0.02923589999999997,-0.32308399189656756,0.0899903,0.0607544,high_school_geography
Base,q0287,9,0.1111111111111111,-0.07643644444444443,-0.5831802054498394,0.13058822222222222,0.05415177777777778,high_school_chemistry
