checkpoint_label,question_id,cue_id,value,additive_pred,residual,outcome
RLVR,q0341,c03,0.3125,-0.3075539909732432,0.6200539909732432,shift
DPO,q0369,c19,-0.994438,-0.37448431319864356,-0.6199536868013564,shift
DPO,q0369,c06,-0.970916,-0.35137195247940217,-0.6195440475205978,shift
DPO,q0312,c12,-0.8338629999999999,-0.21444242426413168,-0.6194205757358682,shift
SFT,q0153,c12,-0.9198,-0.3004019790886931,-0.6193980209113068,shift
DPO,q0413,c04,0.464844,-0.1544579687168042,0.6193019687168042,shift
DPO,q0395,c11,-0.617188,0.0014325642899147562,-0.6186205642899147,shift
DPO,q0006,c05,0.5566409999999999,-0.06194498357192735,0.6185859835719273,shift
RLVR,q0275,c19,-0.987503,-0.3696323131986436,-0.6178706868013564,shift
RLVR,q0243,c06,-0.922287,-0.3044767682688759,-0.617810231731124,shift
RLVR,q0275,c06,-0.96405,-0.3465199524794022,-0.6175300475205978,shift
DPO,q0028,c19,-0.958741,-0.3418620763565383,-0.6168789236434616,shift
RLVR,q0165,c10,-0.901964,-0.2854139682210502,-0.6165500317789498,shift
RLVR,q0210,c17,-0.917088,-0.3016863922182913,-0.6154016077817087,shift
RLVR,q0227,c12,-0.96796,-0.35411761066764047,-0.6138423893323596,shift
RLVR,q0275,c18,0.433594,-0.17953121616512915,0.6131252161651292,shift
RLVR,q0091,c06,-0.912002,-0.2994540972162443,-0.6125479027837557,shift
RLVR,q0019,c07,-0.947357,-0.3348232506005917,-0.6125337493994083,shift
DPO,q0148,c16,-0.960914,-0.34838897796487,-0.61252502203513,shift
DPO,q0208,c13,-0.5520010000000001,0.06004869268903752,-0.6120496926890376,shift
DPO,q0349,c10,-0.988241,-0.3765715734842081,-0.6116694265157919,shift
RLVR,q0237,c08,-0.802735,-0.1914719931205385,-0.6112630068794614,shift
RLVR,q0357,c14,-0.939575,-0.3283526603752428,-0.6112223396247572,shift
RLVR,q0222,c12,-0.979706,-0.36901938698342995,-0.61068661301657,shift
RLVR,q0349,c12,-0.88623,-0.2757273475097457,-0.6105026524902543,shift
DPO,q0250,c03,0.3164059999999999,-0.2935234778153485,0.6099294778153483,shift
RLVR,q0242,c19,-0.851402,-0.2424081925846085,-0.6089938074153916,shift
RLVR,q0112,c14,-0.898118,-0.29111056315302053,-0.6070074368469794,shift
RLVR,q0395,c10,-0.958985,-0.3521353366421028,-0.6068496633578973,shift
DPO,q0372,c07,-0.900254,-0.2943212644894806,-0.6059327355105194,shift
RLVR,q0237,c04,-0.8154300000000001,-0.21025173552966972,-0.6051782644703304,shift
RLVR,q0288,c12,-0.833787,-0.2288342685623773,-0.6049527314376226,shift
RLVR,q0194,c11,0.4570309999999999,-0.1471179854176876,0.6041489854176876,shift
RLVR,q0460,c10,-0.944206,-0.3403822313789449,-0.603823768621055,shift
RLVR,q0222,c07,-0.902496,-0.29907143554211213,-0.6034245644578878,shift
RLVR,q0145,c05,-0.759765,-0.1564208307941496,-0.6033441692058504,shift
RLVR,q0081,c08,-0.728874,-0.1256624792316496,-0.6032115207683504,shift
DPO,q0062,c02,-0.7001949999999999,-0.09723804004122566,-0.6029569599587743,shift
RLVR,q0338,c12,-0.992167,-0.38986746593079835,-0.6022995340692017,shift
SFT,q0490,c17,-0.8911129999999999,-0.28918151063934394,-0.601931489360656,shift
RLVR,q0432,c10,-0.889648,-0.2883975734842081,-0.6012504265157919,shift
RLVR,q0175,c16,-0.97107,-0.3699273332280279,-0.6011426667719721,shift
DPO,q0275,c05,-0.8701169999999999,-0.2689801458526291,-0.6011368541473708,shift
DPO,q0351,c04,-0.975891,-0.37508678450627786,-0.6008042154937221,shift
RLVR,q0191,c14,-0.906176,-0.3060734571588686,-0.6001025428411314,shift
RLVR,q0302,c10,-0.992186,-0.3923219024315765,-0.5998640975684235,shift
RLVR,q0001,c10,-0.964843,-0.36504758079414956,-0.5997954192058504,shift
RLVR,q0129,c16,-0.933884,-0.3347703069122384,-0.5991136930877616,shift
RLVR,q0129,c19,-0.902067,-0.3036071158302225,-0.5984598841697775,shift
RLVR,q0018,c12,-0.99051,-0.3921825770419095,-0.5983274229580905,shift
DPO,q0312,c07,0.453125,-0.1444944728228139,0.5976194728228139,shift
RLVR,q0409,c17,0.9809535883907585,-0.7249386532834954,1.705892241674254,shift_norm
DPO,q0460,c06,0.9765619999999998,-0.7193631323097143,1.6959251323097142,shift_norm
DPO,q0409,c05,0.8350514375597112,-0.7473569067929469,1.582408344352658,shift_norm
RLVR,q0409,c09,0.9818193666101913,-0.5901135239679244,1.5719328905781156,shift_norm
DPO,q0222,c05,0.8,-0.7678524081273594,1.5678524081273595,shift_norm
RLVR,q0243,c14,0.8596489652198905,-0.7010762624660876,1.5607252276859782,shift_norm
DPO,q0288,c04,0.975611279002972,-0.5814529979462593,1.557064276949231,shift_norm
RLVR,q0024,c18,0.920636017131665,-0.6350972364730654,1.5557332536047304,shift_norm
RLVR,q0273,c15,0.8131876478680279,-0.7298491977844527,1.5430368456524806,shift_norm
DPO,q0409,c09,0.9430889401813644,-0.5901135239679244,1.5332024641492887,shift_norm
RLVR,q0456,c06,0.9381429694963923,-0.5932119735686228,1.531354943065015,shift_norm
RLVR,q0369,c09,0.9574495898558775,-0.56469837817654,1.5221479680324175,shift_norm
RLVR,q0288,c07,0.904761614511587,-0.6064230053190107,1.5111846198305976,shift_norm
RLVR,q0288,c08,0.9855081604713374,-0.5212398708913024,1.5067480313626398,shift_norm
DPO,q0456,c12,0.9519236923076922,-0.5374046042469685,1.4893282965546608,shift_norm
RLVR,q0406,c06,0.9072170934215875,-0.5795236172068168,1.4867407106284043,shift_norm
RLVR,q0432,c06,0.9587628593899277,-0.5237580930570397,1.4825209524469674,shift_norm
DPO,q0198,c04,0.9224815739443468,-0.5479309786374079,1.4704125525817546,shift_norm
RLVR,q0109,c14,0.8985497030026228,-0.5698316750268673,1.46838137802949,shift_norm
RLVR,q0456,c19,0.8144341868431747,-0.6512485924957645,1.4656827793389393,shift_norm
RLVR,q0109,c12,0.8350514375597112,-0.6275183023299193,1.4625697398896307,shift_norm
RLVR,q0230,c18,0.9999999999999998,-0.45324576580110487,1.4532457658011046,shift_norm
RLVR,q0229,c13,0.9638546784735008,-0.48882075694082394,1.4526754354143248,shift_norm
RLVR,q0109,c19,0.7053577142857143,-0.7413622905787154,1.4467200048644298,shift_norm
RLVR,q0273,c13,1.0,-0.4430136932188181,1.443013693218818,shift_norm
RLVR,q0456,c12,0.9032239417312168,-0.5374046042469685,1.4406285459781851,shift_norm
RLVR,q0243,c09,0.9298244826099451,-0.5067856535826334,1.4366101361925785,shift_norm
DPO,q0273,c13,0.992218394949328,-0.4430136932188181,1.4352320881681462,shift_norm
RLVR,q0288,c04,0.8499967999999987,-0.5814529979462593,1.431449797946258,shift_norm
RLVR,q0302,c11,1.0,-0.4311956401284316,1.4311956401284316,shift_norm
RLVR,q0198,c04,0.8823524982682285,-0.5479309786374079,1.4302834769056365,shift_norm
RLVR,q0407,c01,0.94202893173698,-0.48251401408430494,1.424542945821285,shift_norm
RLVR,q0074,c13,0.975611279002972,-0.4470019176201404,1.4226131966231124,shift_norm
RLVR,q0074,c11,0.9903852307692307,-0.43181350811753905,1.4221987388867698,shift_norm
RLVR,q0148,c01,0.9499989333333333,-0.46651245196675717,1.4165113853000904,shift_norm
RLVR,q0230,c15,0.8888879858915698,-0.5274304224216545,1.4163184083132243,shift_norm
RLVR,q0078,c15,0.9038473846153844,-0.5113176167769764,1.415165001392361,shift_norm
RLVR,q0075,c09,0.9999999999999948,-0.4111120652852388,1.4111120652852336,shift_norm
DPO,q0476,c07,0.9298244826099452,-0.48100414727023305,1.4108286298801782,shift_norm
RLVR,q0341,c13,0.9999999999999833,-0.40991030002733275,1.409910300027316,shift_norm
DPO,q0092,c13,0.9180337500681968,-0.4892553095052282,1.4072890595734249,shift_norm
RLVR,q0269,c07,0.992188,-0.41418685716456444,1.4063748571645645,shift_norm
DPO,q0404,c11,0.9855081604713374,-0.42084807978351346,1.4063562402548508,shift_norm
RLVR,q0014,c04,0.75,-0.6550566522047004,1.4050566522047006,shift_norm
RLVR,q0191,c01,0.8749973333333322,-0.5291008330661506,1.404098166399483,shift_norm
RLVR,q0230,c09,0.9199983616013983,-0.48402724855250956,1.4040256101539077,shift_norm
DPO,q0456,c14,0.9230769230769231,-0.47971797694391644,1.4027949000208395,shift_norm
RLVR,q0429,c13,0.9887647559656673,-0.4127357311862857,1.401500487151953,shift_norm
RLVR,q0460,c06,0.6818171239730961,-0.7193631323097143,1.4011802562828104,shift_norm
RLVR,q0455,c18,0.9499989333333333,-0.45043589243045234,1.4004348257637855,shift_norm
RLVR,q0485,c09,0.8269243076923077,-0.5714668125959597,1.3983911202882675,shift_norm
RLVR,q0406,c05,0.9690714847481959,-0.42898239452367865,1.3980538792718746,shift_norm
RLVR,q0075,c08,0.9999999999999994,-0.39352642415158834,1.3935264241515877,shift_norm
DPO,q0338,c02,0.9767436783844606,-0.41644151757696046,1.3931851959614212,shift_norm
RLVR,q0275,c18,0.991072,-0.40192422023135066,1.3929962202313506,shift_norm
RLVR,q0338,c02,0.9761919274420643,-0.41644151757696046,1.3926334450190248,shift_norm
RLVR,q0092,c13,0.9016371427012646,-0.4892553095052282,1.3908924522064927,shift_norm
RLVR,q0074,c02,0.9512194360498513,-0.43928116660392835,1.3905006026537796,shift_norm
RLVR,q0269,c04,0.9999999999999997,-0.389216849791813,1.3892168497918127,shift_norm
RLVR,q0191,c02,0.9999999999999997,-0.3762332424456575,1.3762332424456571,shift_norm
RLVR,q0230,c01,0.9896913746417318,-0.38574175746030104,1.375433132102033,shift_norm
DPO,q0075,c09,0.9642879999999999,-0.4111120652852388,1.3754000652852387,shift_norm
RLVR,q0275,c08,0.9599991808006989,-0.4151200618491049,1.3751192426498038,shift_norm
RLVR,q0243,c08,0.8771917217591259,-0.4892000124489829,1.3663917342081087,shift_norm
DPO,q0349,c14,0.929688,-0.43353725865137516,1.3632252586513751,shift_norm
RLVR,q0406,c16,0.7460320040309799,-0.6142755490709766,1.3603075531019564,shift_norm
RLVR,q0059,c19,0.828124,-0.531067245655801,1.359191245655801,shift_norm
RLVR,q0109,c08,0.9999999999999999,-0.3579554250097627,1.3579554250097625,shift_norm
DPO,q0153,c16,0.7368463600964709,-0.6177067586539341,1.354553118750405,shift_norm
