checkpoint_label,question_id,n_cues
DPO,q0229,18
DPO,q0230,18
DPO,q0231,9
DPO,q0232,15
DPO,q0233,15
DPO,q0235,4
DPO,q0236,7
DPO,q0237,18
DPO,q0238,19
DPO,q0239,17
DPO,q0242,18
DPO,q0243,19
DPO,q0245,11
DPO,q0247,9
DPO,q0248,14
DPO,q0250,19
DPO,q0252,7
DPO,q0253,11
DPO,q0254,1
DPO,q0255,14
DPO,q0256,8
DPO,q0258,16
DPO,q0259,14
DPO,q0260,4
DPO,q0261,1
DPO,q0263,10
DPO,q0264,6
DPO,q0265,2
DPO,q0266,1
DPO,q0267,2
DPO,q0268,8
DPO,q0269,19
DPO,q0270,7
DPO,q0271,18
DPO,q0273,19
DPO,q0274,17
DPO,q0275,19
DPO,q0276,12
DPO,q0279,8
DPO,q0280,18
DPO,q0283,13
DPO,q0285,3
DPO,q0286,10
DPO,q0287,9
DPO,q0288,19
DPO,q0289,6
DPO,q0290,7
DPO,q0291,7
DPO,q0292,2
DPO,q0293,11
DPO,q0294,18
DPO,q0295,6
DPO,q0298,18
DPO,q0300,1
DPO,q0302,19
DPO,q0304,17
DPO,q0305,4
DPO,q0306,6
DPO,q0311,12
DPO,q0312,18
DPO,q0315,3
DPO,q0316,15
DPO,q0318,14
DPO,q0319,2
DPO,q0320,13
DPO,q0321,7
DPO,q0325,18
DPO,q0326,15
DPO,q0327,12
DPO,q0331,8
DPO,q0333,7
DPO,q0334,14
DPO,q0337,16
DPO,q0338,19
DPO,q0339,4
DPO,q0341,19
DPO,q0344,7
DPO,q0345,16
DPO,q0346,9
DPO,q0347,6
DPO,q0348,10
DPO,q0349,19
DPO,q0351,19
DPO,q0353,1
DPO,q0354,1
DPO,q0355,1
DPO,q0356,1
DPO,q0357,18
DPO,q0358,14
DPO,q0359,15
DPO,q0361,6
DPO,q0362,18
DPO,q0363,3
DPO,q0364,6
DPO,q0365,5
DPO,q0366,7
DPO,q0368,16
DPO,q0369,19
DPO,q0370,8
DPO,q0371,15
DPO,q0372,19
DPO,q0373,2
DPO,q0374,3
DPO,q0376,5
DPO,q0377,12
DPO,q0380,8
DPO,q0381,1
DPO,q0383,10
DPO,q0384,15
DPO,q0385,5
DPO,q0386,1
DPO,q0387,4
DPO,q0388,15
DPO,q0390,7
DPO,q0392,8
DPO,q0393,7
DPO,q0394,8
DPO,q0395,19
DPO,q0397,10
DPO,q0398,19
DPO,q0399,3
DPO,q0403,19
DPO,q0404,19
DPO,q0406,19
DPO,q0407,19
DPO,q0408,11
DPO,q0409,18
DPO,q0411,16
DPO,q0412,17
DPO,q0413,19
DPO,q0414,17
DPO,q0415,13
DPO,q0416,13
DPO,q0419,8
DPO,q0420,19
DPO,q0421,11
DPO,q0422,6
DPO,q0423,9
DPO,q0424,1
DPO,q0426,3
DPO,q0427,17
DPO,q0428,19
DPO,q0429,18
DPO,q0430,15
DPO,q0431,11
DPO,q0432,19
DPO,q0434,5
DPO,q0435,4
DPO,q0436,19
DPO,q0437,17
DPO,q0438,15
DPO,q0440,16
DPO,q0441,18
DPO,q0442,13
DPO,q0443,17
DPO,q0444,19
DPO,q0445,17
DPO,q0446,2
DPO,q0448,13
DPO,q0449,16
DPO,q0453,1
DPO,q0454,4
DPO,q0455,19
DPO,q0456,19
DPO,q0460,19
DPO,q0462,17
DPO,q0463,6
DPO,q0464,15
DPO,q0469,7
DPO,q0470,17
DPO,q0471,12
DPO,q0472,8
DPO,q0474,3
DPO,q0476,19
DPO,q0477,17
DPO,q0478,7
DPO,q0479,15
DPO,q0480,14
DPO,q0482,13
DPO,q0483,7
DPO,q0484,10
DPO,q0485,18
DPO,q0487,10
DPO,q0489,16
DPO,q0490,19
DPO,q0491,1
DPO,q0492,17
DPO,q0493,16
DPO,q0495,7
DPO,q0496,3
DPO,q0497,16
DPO,q0498,1
DPO,q0499,8
DPO,q0500,6
RLVR,q0001,18
RLVR,q0003,18
RLVR,q0004,9
RLVR,q0005,13
RLVR,q0006,18
RLVR,q0009,4
RLVR,q0010,17
RLVR,q0011,1
RLVR,q0012,7
RLVR,q0013,9
RLVR,q0014,19
RLVR,q0015,17
RLVR,q0017,3
RLVR,q0018,18
RLVR,q0019,18
RLVR,q0020,1
RLVR,q0021,1
RLVR,q0022,3
RLVR,q0023,9
RLVR,q0024,19
RLVR,q0025,10
RLVR,q0028,19
RLVR,q0029,7
RLVR,q0031,19
RLVR,q0032,15
RLVR,q0034,17
RLVR,q0035,17
RLVR,q0036,2
RLVR,q0038,11
RLVR,q0039,18
RLVR,q0040,1
RLVR,q0041,1
RLVR,q0042,9
RLVR,q0044,13
RLVR,q0045,3
RLVR,q0046,18
RLVR,q0047,12
RLVR,q0048,19
RLVR,q0050,7
RLVR,q0051,1
RLVR,q0052,10
RLVR,q0053,19
RLVR,q0054,16
RLVR,q0055,14
RLVR,q0057,3
RLVR,q0058,16
RLVR,q0059,19
RLVR,q0062,19
RLVR,q0063,16
RLVR,q0064,10
RLVR,q0065,10
RLVR,q0068,14
RLVR,q0069,16
RLVR,q0070,16
RLVR,q0071,17
RLVR,q0073,18
RLVR,q0074,19
RLVR,q0075,19
RLVR,q0076,15
RLVR,q0078,19
RLVR,q0081,18
RLVR,q0082,19
RLVR,q0083,2
RLVR,q0085,14
RLVR,q0086,16
RLVR,q0087,19
RLVR,q0090,1
RLVR,q0091,19
RLVR,q0092,18
RLVR,q0095,5
RLVR,q0096,15
RLVR,q0097,2
RLVR,q0098,15
RLVR,q0100,11
RLVR,q0101,9
RLVR,q0104,4
RLVR,q0105,1
RLVR,q0106,15
RLVR,q0107,7
RLVR,q0108,1
RLVR,q0109,19
RLVR,q0110,19
RLVR,q0112,18
RLVR,q0113,2
RLVR,q0114,18
RLVR,q0115,12
RLVR,q0118,17
RLVR,q0119,9
RLVR,q0121,15
RLVR,q0122,3
RLVR,q0123,14
RLVR,q0124,15
RLVR,q0125,8
RLVR,q0129,19
RLVR,q0130,5
RLVR,q0131,17
RLVR,q0132,3
RLVR,q0133,14
RLVR,q0134,9
RLVR,q0135,6
RLVR,q0136,14
RLVR,q0137,8
RLVR,q0138,17
RLVR,q0139,11
RLVR,q0140,19
RLVR,q0141,3
RLVR,q0142,18
RLVR,q0143,6
RLVR,q0144,1
RLVR,q0145,18
RLVR,q0146,4
RLVR,q0148,19
RLVR,q0149,7
RLVR,q0150,12
RLVR,q0151,19
RLVR,q0152,6
RLVR,q0153,19
RLVR,q0154,10
RLVR,q0155,3
RLVR,q0157,5
RLVR,q0159,18
RLVR,q0160,10
RLVR,q0161,15
RLVR,q0162,18
RLVR,q0164,11
RLVR,q0165,19
RLVR,q0166,1
RLVR,q0167,10
RLVR,q0169,16
RLVR,q0170,5
RLVR,q0171,1
RLVR,q0172,2
RLVR,q0175,19
RLVR,q0176,4
RLVR,q0179,4
RLVR,q0180,1
RLVR,q0183,3
RLVR,q0185,17
RLVR,q0186,4
RLVR,q0187,12
RLVR,q0188,17
RLVR,q0189,19
RLVR,q0191,19
RLVR,q0194,18
RLVR,q0196,10
RLVR,q0198,18
RLVR,q0199,7
RLVR,q0200,2
RLVR,q0201,10
RLVR,q0203,14
RLVR,q0208,19
RLVR,q0209,19
RLVR,q0210,19
RLVR,q0211,16
RLVR,q0214,6
RLVR,q0215,10
RLVR,q0216,14
RLVR,q0217,1
RLVR,q0218,19
RLVR,q0220,10
RLVR,q0222,19
RLVR,q0223,14
RLVR,q0224,5
RLVR,q0225,14
RLVR,q0226,5
RLVR,q0227,19
RLVR,q0229,18
RLVR,q0230,18
RLVR,q0231,9
RLVR,q0232,15
RLVR,q0233,15
RLVR,q0235,4
RLVR,q0236,7
RLVR,q0237,18
RLVR,q0238,19
RLVR,q0239,17
RLVR,q0242,18
RLVR,q0243,19
RLVR,q0245,11
RLVR,q0247,9
RLVR,q0248,14
RLVR,q0250,19
RLVR,q0252,7
RLVR,q0253,11
RLVR,q0254,1
RLVR,q0255,14
RLVR,q0256,8
RLVR,q0258,16
RLVR,q0259,14
RLVR,q0260,4
RLVR,q0261,1
RLVR,q0263,10
RLVR,q0264,6
RLVR,q0265,2
RLVR,q0266,1
RLVR,q0267,2
RLVR,q0268,8
RLVR,q0269,19
RLVR,q0270,7
RLVR,q0271,18
RLVR,q0273,19
RLVR,q0274,17
RLVR,q0275,19
RLVR,q0276,12
RLVR,q0279,8
RLVR,q0280,18
RLVR,q0283,13
RLVR,q0285,3
RLVR,q0286,10
RLVR,q0287,9
RLVR,q0288,19
RLVR,q0289,6
RLVR,q0290,7
RLVR,q0291,7
RLVR,q0292,2
RLVR,q0293,11
RLVR,q0294,18
RLVR,q0295,6
RLVR,q0298,18
RLVR,q0300,1
RLVR,q0302,19
RLVR,q0304,17
RLVR,q0305,4
RLVR,q0306,6
RLVR,q0311,12
RLVR,q0312,18
RLVR,q0315,3
RLVR,q0316,15
RLVR,q0318,14
RLVR,q0319,2
RLVR,q0320,13
RLVR,q0321,7
RLVR,q0325,18
RLVR,q0326,15
RLVR,q0327,12
RLVR,q0331,8
RLVR,q0333,7
RLVR,q0334,14
RLVR,q0337,16
RLVR,q0338,19
RLVR,q0339,4
RLVR,q0341,19
RLVR,q0344,7
RLVR,q0345,16
RLVR,q0346,9
RLVR,q0347,6
RLVR,q0348,10
RLVR,q0349,19
RLVR,q0351,19
RLVR,q0353,1
RLVR,q0354,1
RLVR,q0355,1
RLVR,q0356,1
RLVR,q0357,18
RLVR,q0358,14
RLVR,q0359,15
RLVR,q0361,6
RLVR,q0362,18
RLVR,q0363,3
RLVR,q0364,6
RLVR,q0365,5
RLVR,q0366,7
RLVR,q0368,16
RLVR,q0369,19
RLVR,q0370,8
RLVR,q0371,15
RLVR,q0372,19
RLVR,q0373,2
RLVR,q0374,3
RLVR,q0376,5
RLVR,q0377,12
RLVR,q0380,8
RLVR,q0381,1
RLVR,q0383,10
RLVR,q0384,15
RLVR,q0385,5
RLVR,q0386,1
RLVR,q0387,4
RLVR,q0388,15
RLVR,q0390,7
RLVR,q0392,8
RLVR,q0393,7
RLVR,q0394,8
RLVR,q0395,19
RLVR,q0397,10
RLVR,q0398,19
RLVR,q0399,3
RLVR,q0403,19
RLVR,q0404,19
RLVR,q0406,19
RLVR,q0407,19
RLVR,q0408,11
RLVR,q0409,18
RLVR,q0411,16
RLVR,q0412,17
RLVR,q0413,19
RLVR,q0414,17
RLVR,q0415,13
RLVR,q0416,13
RLVR,q0419,8
RLVR,q0420,19
RLVR,q0421,11
RLVR,q0422,6
RLVR,q0423,9
RLVR,q0424,1
RLVR,q0426,3
RLVR,q0427,17
RLVR,q0428,19
RLVR,q0429,18
RLVR,q0430,15
RLVR,q0431,11
RLVR,q0432,19
RLVR,q0434,5
RLVR,q0435,4
RLVR,q0436,19
RLVR,q0437,17
RLVR,q0438,15
RLVR,q0440,16
RLVR,q0441,18
RLVR,q0442,13
RLVR,q0443,17
RLVR,q0444,19
RLVR,q0445,17
RLVR,q0446,2
RLVR,q0448,13
RLVR,q0449,16
RLVR,q0453,1
RLVR,q0454,4
RLVR,q0455,19
RLVR,q0456,19
RLVR,q0460,19
RLVR,q0462,17
RLVR,q0463,6
RLVR,q0464,15
RLVR,q0469,7
RLVR,q0470,17
RLVR,q0471,12
RLVR,q0472,8
RLVR,q0474,3
RLVR,q0476,19
RLVR,q0477,17
RLVR,q0478,7
RLVR,q0479,15
RLVR,q0480,14
RLVR,q0482,13
RLVR,q0483,7
RLVR,q0484,10
RLVR,q0485,18
RLVR,q0487,10
RLVR,q0489,16
RLVR,q0490,19
RLVR,q0491,1
RLVR,q0492,17
RLVR,q0493,16
RLVR,q0495,7
RLVR,q0496,3
RLVR,q0497,16
RLVR,q0498,1
RLVR,q0499,8
RLVR,q0500,6
SFT,q0001,18
SFT,q0003,18
SFT,q0004,9
SFT,q0005,13
SFT,q0006,18
SFT,q0009,4
SFT,q0010,17
SFT,q0011,1
SFT,q0012,7
SFT,q0013,9
SFT,q0014,19
SFT,q0015,17
SFT,q0017,3
SFT,q0018,18
SFT,q0019,18
SFT,q0020,1
SFT,q0021,1
SFT,q0022,3
SFT,q0023,9
SFT,q0024,19
SFT,q0025,10
SFT,q0028,19
SFT,q0029,7
SFT,q0031,19
SFT,q0032,15
SFT,q0034,17
SFT,q0035,17
SFT,q0036,2
SFT,q0038,11
SFT,q0039,18
SFT,q0040,1
SFT,q0041,1
SFT,q0042,9
SFT,q0044,13
SFT,q0045,3
SFT,q0046,18
SFT,q0047,12
SFT,q0048,19
SFT,q0050,7
SFT,q0051,1
SFT,q0052,10
SFT,q0053,19
SFT,q0054,16
SFT,q0055,14
SFT,q0057,3
SFT,q0058,16
SFT,q0059,19
SFT,q0062,19
SFT,q0063,16
SFT,q0064,10
SFT,q0065,10
SFT,q0068,14
SFT,q0069,16
SFT,q0070,16
SFT,q0071,17
SFT,q0073,18
SFT,q0074,19
SFT,q0075,19
SFT,q0076,15
SFT,q0078,19
SFT,q0081,18
SFT,q0082,19
SFT,q0083,2
SFT,q0085,14
